descricao,Categoria,contagem_galv,contagem_diam,contagem_equip,contagem_sequencia,contagem_20cm,contagem_tam
papel melaminico branco foco plm nao repor,3,0,0,0,0,0,0
papel melaminico branco foco,3,0,0,0,0,0,0
papel melaminico branco foco nao repor,3,0,0,0,0,0,0
papel melaminico branco foco olm,3,0,0,0,0,0,0
papel melaminico branco foco plm,3,0,0,0,0,0,0
papel melaminico padrao branco,3,0,0,0,0,0,0
papel melaminico padrao branco nao repor,3,0,0,0,0,0,0
papel melaminico padrao curupixa,3,0,0,0,0,0,0
papel melaminico padrao curupixa nao repor,3,0,0,0,0,0,0
papel melaminico padre curupixa,3,0,0,0,0,0,0
papel melaminico padrao freio escuro fsc mix,3,0,0,0,0,0,0
papel melaminico padrao freio escuro,3,0,0,0,0,0,0
papel melaminico padrao impura,3,0,0,0,0,0,0
papel melaminico padrao mogno nao repor,3,0,0,0,0,0,0
papel melaminico padrao mogno,3,0,0,0,0,0,0
papel melaminico padrao tanganica fsc mix,3,0,0,0,0,0,0
papel melaminico padrao tanganica,3,0,0,0,0,0,0
papel melaminico padrao tanganica fcs mix,3,0,0,0,0,0,0
papel miolo int papel chamaria bpm branco dia fsc mix coc,3,0,1,0,0,0,0
papel miolo int papel chamaria branco dia fsc mix coc,3,0,1,0,0,0,0
papel impressao nip hax,3,0,0,0,0,0,0
papel recobridora branco foco plm nao repor,3,0,0,0,0,0,0
papel recobridora branco foco plm,3,0,0,0,0,0,0
papel recobridora padrao impura,3,0,0,0,0,0,0
papel reinado branco foco plm,3,0,0,0,0,0,0
papel test lider inda,3,0,0,0,0,0,0
papel test lider iria,3,0,0,0,0,0,0
papel test lider miguel forte,3,0,0,0,0,0,0
papel white test lider massa,3,0,0,0,0,0,0
papel white test lider miguel forte,3,0,0,0,0,0,0
papel white test lider miguel forte bmf,3,0,0,0,0,0,0
papel wtl ann cara box dia fsc mix coc,3,0,1,0,0,0,0
revestimento papel melaminico capuccino jumbo rolo,3,0,0,0,0,0,0
bobina papel coche ref diversas,3,0,0,0,0,0,0
bobina papel ondulado,3,0,0,0,0,0,0
borboleta papel emb,3,0,0,0,0,0,0
caixa papelao coracao tela,3,0,0,0,0,0,0
caixa papelao coracao tela,3,0,0,0,0,1,0
caixa papelao envio brindes,3,0,0,0,0,0,0
fita junta papel microperfurado,3,0,0,0,0,0,0
mkt bloco notas capa papel cartao,3,0,0,0,0,0,0
mkt papel coche branco,3,0,0,0,0,0,0
mkt papel seda ouro prata liso,3,0,0,0,0,0,0
mkt precario loja papel,3,0,0,0,0,0,0
papel branco,3,0,0,0,0,0,0
papel defice,3,0,0,0,0,0,0
papel defice certfscmisto,3,0,0,0,0,0,0
papel dance,3,0,0,0,0,0,0
papel dance defice misto,3,0,0,0,0,0,0
papel chame defice,3,0,0,0,0,0,0
papel seda,3,0,0,0,0,0,0
papel fotografico adesivo,3,0,0,0,0,0,0
papel online branco folha,3,0,0,0,0,0,0
papel dance defice xmm pct,3,0,0,0,0,0,0
papel junta vender,3,0,0,0,0,0,0
papel desenho branco vmp,3,0,0,0,0,0,0
papel junta volumoide,3,0,0,0,0,0,0
papel seda twitter ouro,3,0,0,0,0,0,0
papel seda twitter vermelho,3,0,0,0,0,0,0
papel seda liso azul,3,0,0,0,0,1,0
papel seda liso branco,3,0,0,0,0,1,0
papel seda liso,3,0,0,0,0,1,0
papel seda liso pessego,3,0,0,0,0,1,0
papel seda liso pink,3,0,0,0,0,1,0
papel seda liso pistache,3,0,0,0,0,1,0
papel seda liso vermelho xcm,3,0,0,0,0,1,0
papel seda nele bordo,3,0,0,0,0,0,0
papel seda nele verde,3,0,0,0,0,0,0
papel velumoid bob forum,3,0,0,0,0,0,0
papel velumoide,3,0,0,0,0,0,0
papel branco pilotado meio,3,0,0,0,0,0,0
saco papel kart,3,0,0,0,0,0,0
uso farinha papel branca,3,0,0,0,0,0,0
uso papel presente coche,3,0,0,0,0,1,0
uso papel xmm,3,0,0,0,0,0,0
uso papel branca folhas,3,0,0,0,0,0,0
uso papel folhas,3,0,0,0,0,0,0
uso papel chame amar folhas,3,0,0,0,0,0,0
uso papel chame branca folhas,3,0,0,0,0,0,0
uso papel chame folhas,3,0,0,0,0,0,0
uso papel linho palha,3,0,0,0,0,0,0
uso papel sulforms pacote dance,3,0,0,0,0,0,0
uso papel oficio chamequinho,3,0,0,0,0,0,0
uso papel poster,3,0,0,0,0,0,0
uso papel sulfito magnum pacotes,3,0,0,0,0,0,0
uso rec papel bob mono bco trem,3,0,0,0,0,1,0
uso rec papel bob strong liso,3,0,0,0,0,1,0
uso rec papel coche,3,0,0,0,0,1,0
uso rec uso bobina papel branco liso,3,0,0,0,0,1,0
cartel motorista papel touch verniz especial,3,0,0,0,0,0,0
papel colorido,3,0,0,0,0,0,0
papel gloss,3,0,0,0,0,0,0
papel gloss adesivo,3,0,0,0,0,0,0
papel carolina pacote folhas,3,0,0,0,0,0,0
papel fotografico gloss gmasterprint,3,0,0,0,0,0,0
papel pardo,3,0,0,0,0,0,0
bloco papel anote cole bloco papel anote cole,3,0,0,0,0,0,0
bloco ticket pesagem vias papelao bloco ticket pesagem unidades vias papelao,3,0,0,0,0,0,0
bobina papel formato xmxgrs bobina papel formato grs,3,0,0,0,0,0,0
bobina papel kph termo script bobina papel termoscript kph medida papel khp termoscript largura comprimento diametro externo diametro interno prematura papel,3,0,2,0,0,0,0
bobina papel embrulho bobina papel embrulho,3,0,0,0,0,0,0
caderno unir papelao duro esp mat caderno universitario capa papelao duro preto espiral folhas materia adicional marca libra referencia,3,0,0,0,0,0,0
cartao bloqueio mau papel cartao orificio xmm vpp cartao bloqueio manutencao papel cartao orificio medidas xmm vpp,3,0,0,0,0,0,0
clip papel clip papel caixa grama,3,0,0,0,0,4,0
clip papel clip papel,3,0,0,0,0,0,0
clip papel clip papel caixa grama,3,0,0,0,0,0,0
etiqueta adesiva papel trans there xmm etiqueta auto adesiva papel trans termino carreiras sendo rolos metro quantidade etiquetas,3,0,0,0,0,0,0
etiqueta adesiva medida papel coche grs etiqueta adesiva medida papel coche grs sendo etiquetas rolo,3,0,0,0,0,0,0
papel aluminio papel aluminio,3,0,0,0,0,2,0
papel formato xmm papel formato tamanho xmm,3,0,0,0,0,0,0
papel formato xmm mesma folhas papel formato mesma folhas,3,0,0,0,0,0,0
papel kart papel kart,3,0,0,0,0,2,0
papel verde xmm papel verde cor branco prematura formato embalagem pacote folhas aplicacao impressao laser ink jet,3,0,0,0,0,0,0
pasta papelao elastico cor azul pasta papelao elastico cor azul,3,0,0,0,0,0,0
pasta papelao grampo trilho cor azul pasta papelao grampo trilho cor azul,3,0,0,0,0,0,0
saco papel kart capacidade saco papel kart capacidade,3,0,0,0,0,0,0
fita adesiva dupla face papel fita adesiva dupla face papel,3,0,0,0,0,0,0
fita dupla face papel,3,0,0,0,0,0,0
papel bloco,3,0,0,0,0,0,0
papel bloco papel bloco,3,0,0,0,0,0,0
papel base copia pbc papel base copia pbc medidas,3,0,0,0,0,0,0
papel copia papel base copia,3,0,0,0,0,0,0
papel fotografico,3,0,0,0,0,0,0
papel realizado papel realizado furtar provado grs canso,3,0,0,0,0,0,0
papel oficio cartao duplex xmm,3,0,0,0,0,0,0
papel dopamina grama papel dopamina liso branco padrao grs pacote folhas,3,0,0,0,0,0,0
papel clip chat folhas bloco papel clip chat dimensoes xcm,3,0,0,0,0,1,0
papel sulfito chame colo,3,0,0,0,0,0,0
papel sulfito chame colo estiveste largo profissional trava giratoria sequer,3,0,0,0,0,0,0
papel sulfito local papel sulfito alcalino padrao xmm pacote folhas,3,0,0,0,0,0,0
papel termino relogio ponto papel termino relogio ponto bobina metro,3,0,0,0,0,0,0
papel vci zap papel vci ref zap,3,0,0,0,0,0,0
papel vci zap vci papel classificado vci zap vci,3,0,0,0,0,0,0
papel copiar marca modelo cor tamanho,3,0,0,0,0,0,0
blocos vias cor impresso papel auto criativo vias,3,0,0,0,0,0,0
bobina papel fax,3,0,0,0,0,0,0
capa impressora papel,3,0,0,0,0,0,0
etiqueta adesiva papel coche verde cola sintetica xmm tapete pol,3,0,0,0,0,0,0
etiqueta adesiva papel coche vermelho cola sintetica xmm tapete pol,3,0,0,0,0,0,0
fita adesiva papel cremado,3,0,0,0,0,0,0
fita papel microperfurada,3,0,0,0,0,0,0
folha papel baile formulario continuo branco,3,0,0,0,0,0,0
folhas papel fibra longa clip sweet,3,0,0,0,0,0,0
papel grs branco xmm,3,0,0,0,0,0,0
papel vermelho escuro peguem folhas,3,0,0,0,0,0,0
papel contacto policia,3,0,0,0,0,0,0
papel coche branco,3,0,0,0,0,0,0
papel coche branco foco,3,0,0,0,0,0,0
papel coche brilho,3,0,0,0,0,0,0
papel presente,3,0,0,0,0,0,0
papel diplomata branco,3,0,0,0,0,0,0
papel dupla face,3,0,0,0,0,0,0
papel fotografico gloss branco brilhante resistente agua folhas,3,0,0,0,0,0,0
papel gloss plus,3,0,0,0,0,0,0
papel online branco,3,0,0,0,0,0,0
papel sulfito,3,0,0,0,0,0,0
papel verde branco palha,3,0,0,0,0,0,0
mesma papel amarelo,3,0,0,0,0,0,0
mesma papel azul,3,0,0,0,0,0,0
mesma papel branco,3,0,0,0,0,0,0
mesma papel verde,3,0,0,0,0,0,0
mesma papel credes,3,0,0,0,0,0,0
rolo etiquetas papel coche xmm coluna etiquetas,3,0,0,0,0,0,0
sacola papel duplex cor corda branco,3,0,0,0,0,1,0
bloco papel clip chat folhas ref colar papeis,3,0,0,0,0,2,0
bobina branca offset papel comprimento via,3,0,0,0,0,0,0
bobina papel termino via impressora termina portatil,3,0,0,0,0,0,0
bobina papel termino via impressora termina,3,0,0,0,0,0,0
etiqueta adesivo permanente papel coche amarelo xmm carreiras horizontais imp zebra,3,0,0,0,0,0,0
etiqueta adesivo permanente papel coche branco carreiras imp zebra,3,0,0,0,0,0,0
etiqueta adesivo permanente papel coche branco xmm colunas hora imp zebra ref mexa,3,0,0,0,0,0,0
etiqueta calor permanente papel coche azul claro xmm tlp,3,0,0,0,0,0,0
papelao guarita pol,3,0,0,0,0,0,0
papelao junta guarita pol,3,0,0,0,0,0,0
papel etiqueta carta adesiva dim pecas,3,0,0,0,0,0,0
papel gloss fotografico mexam aprova agua contem folha grama,3,0,0,0,0,0,0
papel sulfito reciclado xmm mesma folhas ref chame,3,0,0,0,0,0,0
pasta papelao comum grampo trilho plastico cor azul franca,3,0,0,0,0,0,0
bobina papel poster produto servico utilizar padre engenharia mdf descrito complementar estoque,3,0,0,0,0,0,0
caderno papel kart folhas produto servico gravar tampo utilizar padre geral status cadastro aplicar direta,3,0,0,0,0,1,0
caixa papelao produto servico caixa papel utilizar padre marketing status cadastro aplicar direta,3,0,0,0,0,0,0
embalagem papelao lateral extra produto servico centro custo solicitando aprovado utilizar padre descrito complementar,3,0,0,0,0,0,0
etiqueta prematura etiqueta branca papel touch produto servico etiqueta branca papel touch tapete bobina unidades centro custo solicitando aprovado utilizar padre grp grs descrito complementar,3,0,0,0,0,0,0
injusto impregnado papel antuerpia,3,0,0,0,0,0,0
injusto impregnado papel biliao injusto impregnado papel biliao,3,0,0,0,0,0,0
injusto impregnado papel bronze,3,0,0,0,0,0,0
injusto impregnado papel carvalho natural,3,0,0,0,0,0,0
injusto impregnado papel cinza perfeito injusto impregnado papel find nome digo fornecedor find cinza,3,0,0,0,0,0,0
injusto impregnado papel cosmos,3,0,0,0,0,0,0
injusto impregnado papel curupixa,3,0,0,0,0,0,0
injusto impregnado papel curupixa rapado injusto impregnado papel curupix nome digo fornecedor curupix slot rapado curupixa,3,0,0,0,0,0,0
injusto impregnado papel elmo lista,3,0,0,0,0,0,0
injusto impregnado papel fog injusto impregnado papel fog,3,0,0,0,0,0,0
injusto impregnado papel impura,3,0,0,0,0,0,0
injusto impregnado papel ipe,3,0,0,0,0,0,0
injusto impregnado papel marco,3,0,0,0,0,0,0
injusto impregnado papel ouro,3,0,0,0,0,0,0
injusto impregnado papel pixel injusto impregnado papel pixel,3,0,0,0,0,0,0
injusto impregnado papel preferia,3,0,0,0,0,0,0
injusto impregnado papel quartzo,3,0,0,0,0,0,0
injusto impregnado papel tapar,3,0,0,0,0,0,0
injusto impregnado papel tapar rapado injusto impregnado papel tapar slot nome digo fornecedor tapar slot rapado tapar,3,0,0,0,0,0,0
injusto impregnado papel tear injusto impregnado papel textil nome digo fornecedor textil tear,3,0,0,0,0,0,0
injusto impregnado papel tecto injusto impregnado papel chino nome digo fornecedor chino metalico chino,3,0,0,0,0,0,0
injusto impregnado papel desvio,3,0,0,0,0,0,0
injusto impregnado papel amava,3,0,0,0,0,0,0
injusto impregnado papel atacaria,3,0,0,0,0,0,0
injusto impregnado papel pau ferro,3,0,0,0,0,0,0
injusto impregnado papel tecido,3,0,0,0,0,0,0
injusto impregnado papel freio rapado nome digo fornecedor aula freio rapado,3,0,0,0,0,0,0
injusto impregnado papel acabam,3,0,0,0,0,0,0
injusto impregnado papel alecrim injusto impregnado papel alecrim,3,0,0,0,0,0,0
injusto impregnado papel antiga injusto impregnado papel antiga,3,0,0,0,0,0,0
injusto impregnado papel azul ardosia injusto impregnado papel fique calor nome digo fornecedor fique calor azul,3,0,0,0,0,0,0
injusto impregnado papel caveira,3,0,0,0,0,0,0
injusto impregnado papel canoas injusto impregnado papel canoas,3,0,0,0,0,0,0
injusto impregnado papel capuccino,3,0,0,0,0,0,0
injusto impregnado papel crime injusto impregnado papel crime,3,0,0,0,0,0,0
injusto impregnado papel cinza urbano,3,0,0,0,0,0,0
injusto impregnado papel ire injusto impregnado papel ire,3,0,0,0,0,0,0
injusto impregnado papel erva mate injusto impregnado papel find nome digo fornecedor find verde,3,0,0,0,0,0,0
injusto impregnado papel vendi,3,0,0,0,0,0,0
injusto impregnado papel montanha,3,0,0,0,0,0,0
injusto impregnado papel ali injusto impregnado papel trace nome digo fornecedor trace cometa,3,0,0,0,0,0,0
injusto impregnado papel grafite,3,0,0,0,0,0,0
injusto impregnado papel grafite linha are,3,0,0,0,0,0,0
injusto impregnado papel magoe carvalho nome digo fornecedor liam impura magoe carvalho,3,0,0,0,0,0,0
injusto impregnado papel magoe impura nome digo fornecedor liam impura magoe impura,3,0,0,0,0,0,0
injusto impregnado papel magoe mel nome digo fornecedor liam impura magoe mel,3,0,0,0,0,0,0
injusto impregnado papel marca injusto impregnado papel find nome digo fornecedor find vendi matt,3,0,0,0,0,0,0
injusto impregnado papel niquel injusto impregnado papel niquel,3,0,0,0,0,0,0
injusto impregnado papel vogal champagne,3,0,0,0,0,0,0
injusto impregnado papel vogal cavilha,3,0,0,0,0,0,0
injusto impregnado papel paris,3,0,0,0,0,0,0
injusto impregnado papel santorini,3,0,0,0,0,0,0
injusto impregnado papel savana,3,0,0,0,0,0,0
injusto impregnado papel sobria,3,0,0,0,0,0,0
injusto impregnado papel tijolo injusto impregnado papel tijolo,3,0,0,0,0,0,0
injusto impregnado papel rico,3,0,0,0,0,0,0
injusto impregnado papel areia injusto impregnado papel areia,3,0,0,0,0,0,0
injusto impregnado papel azul petroleo injusto impregnado papel azul petroleo,3,0,0,0,0,0,0
injusto impregnado papel freio,3,0,0,0,0,0,0
injusto impregnado papel adora,3,0,0,0,0,0,0
injusto impregnado papel vela injusto impregnado papel anel,3,0,0,0,0,0,0
injusto impregnado papel elmo banco,3,0,0,0,0,0,0
injusto impregnado papel fulo injusto impregnado papel fulo,3,0,0,0,0,0,0
injusto impregnado papel jasper injusto impregnado papel trace nome digo fornecedor trace metalico cobre,3,0,0,0,0,0,0
injusto impregnado papel sangue injusto impregnado papel unicolor nome digo fornecedor unicolor cor escura,3,0,0,0,0,0,0
injusto impregnado papel nua injusto impregnado papel trace nome digo fornecedor trace metalico claro,3,0,0,0,0,0,0
injusto impregnado papel tela injusto impregnado papel tela,3,0,0,0,0,0,0
injusto impregnado papel plano,3,0,0,0,0,0,0
injusto impregnado papel new sherry,3,0,0,0,0,0,0
injusto impregnado papel rosa milkshake,3,0,0,0,0,0,0
injusto impregnado papel tema banco,3,0,0,0,0,0,0
injusto impregnado papel aura injusto impregnado papel unimetalic nome digo fornecedor uni metal metalico dourado,3,0,0,0,0,0,0
injusto impregnado papel beringela injusto impregnado papel beringela,3,0,0,0,0,0,0
injusto impregnado papel corte,3,0,0,0,0,0,0
injusto impregnado papel platina injusto impregnado papel unimetal nome digo fornecedor unimetal metalico prateado,3,0,0,0,0,0,0
injusto impregnado papel terreno injusto impregnado papel greg nome digo fornecedor greg gianduia,3,0,0,0,0,0,0
injusto impregnado papel cobre injusto impregnado papel cobre,3,0,0,0,0,0,0
examine papel folhas papel base xmm produto servico utilizar padre teste espelho essa descrito complementar aplicacao direta,3,0,0,0,0,0,0
papel base acabam,3,0,0,0,0,0,0
papel base alecrim,3,0,0,0,0,0,0
papel base amava papel base amava,3,0,0,0,0,0,0
papel base adora,3,0,0,0,0,0,0
papel base antiga,3,0,0,0,0,0,0
papel base antuerpia,3,0,0,0,0,0,0
papel base atacaria papel base atacaria,3,0,0,0,0,0,0
papel base areia,3,0,0,0,0,0,0
papel base azul petroleo,3,0,0,0,0,0,0
papel base caveira,3,0,0,0,0,0,0
papel base beringela,3,0,0,0,0,0,0
papel base biliao,3,0,0,0,0,0,0
papel base branco,3,0,0,0,0,0,0
papel base bronze,3,0,0,0,0,0,0
papel base canoas,3,0,0,0,0,0,0
papel base capuccino,3,0,0,0,0,0,0
papel base crime,3,0,0,0,0,0,0
papel base carvalho barcelona,3,0,0,0,0,0,0
papel base carvalho madre,3,0,0,0,0,0,0
papel base carvalho nossa,3,0,0,0,0,0,0
papel base cinza urbano,3,0,0,0,0,0,0
papel base ire baixa,3,0,0,0,0,0,0
papel base cobre papel base cobre,3,0,0,0,0,0,0
papel base cobre,3,0,0,0,0,0,0
papel base corte,3,0,0,0,0,0,0
papel base cosmos,3,0,0,0,0,0,0
papel base curupixa,3,0,0,0,0,0,0
papel base elmo banco,3,0,0,0,0,0,0
papel base vendi,3,0,0,0,0,0,0
papel base fog,3,0,0,0,0,0,0
papel base montanha,3,0,0,0,0,0,0
papel base freio,3,0,0,0,0,0,0
papel base fulo papel base fulo,3,0,0,0,0,0,0
papel base grafite,3,0,0,0,0,0,0
papel base hiper preto,3,0,0,0,0,0,0
papel base ipe,3,0,0,0,0,0,0
papel base juiz,3,0,0,0,0,0,0
papel base linho,3,0,0,0,0,0,0
papel base lista,3,0,0,0,0,0,0
papel base papel rezo,3,0,0,0,0,0,0
papel base marfim teria,3,0,0,0,0,0,0
papel base marco,3,0,0,0,0,0,0
papel base marcos,3,0,0,0,0,0,0
papel base plano,3,0,0,0,0,0,0
papel base nevada,3,0,0,0,0,0,0
papel base new sherry,3,0,0,0,0,0,0
papel base niquel,3,0,0,0,0,0,0
papel base vogal champagne,3,0,0,0,0,0,0
papel base vogal male,3,0,0,0,0,0,0
papel base vogal cavilha,3,0,0,0,0,0,0
papel base onde,3,0,0,0,0,0,0
papel base nix,3,0,0,0,0,0,0
papel base ouro,3,0,0,0,0,0,0
papel base paris papel base paris,3,0,0,0,0,0,0
papel base pixel,3,0,0,0,0,0,0
papel base porto,3,0,0,0,0,0,0
papel base preto,3,0,0,0,0,0,0
papel base preferia,3,0,0,0,0,0,0
papel base quartzo,3,0,0,0,0,0,0
papel base rosa milkshake,3,0,0,0,0,0,0
papel base santorini,3,0,0,0,0,0,0
papel base savana,3,0,0,0,0,0,0
papel base saw cut,3,0,0,0,0,0,0
papel base sobria,3,0,0,0,0,0,0
papel base tapar,3,0,0,0,0,0,0
papel base tecido papel base tecido,3,0,0,0,0,0,0
papel base tema banco,3,0,0,0,0,0,0
papel base tela papel base tela,3,0,0,0,0,0,0
papel base terramoto,3,0,0,0,0,0,0
papel base tijolo,3,0,0,0,0,0,0
papel base desvio,3,0,0,0,0,0,0
papel base sangue natural,3,0,0,0,0,0,0
papel base magoe carvalho nome digo fornecedor liam impura magoe carvalho,3,0,0,0,0,0,0
papel base magoe impura nome digo fornecedor liam impura magoe impura,3,0,0,0,0,0,0
papel base pau ferro papel base pau ferro,3,0,0,0,0,0,0
papel base rico papel base rico,3,0,0,0,0,0,0
papel base cinza perfeito papel base find nome digo fornecedor find cinza,3,0,0,0,0,0,0
papel impregnado branco plus,3,0,0,0,0,0,0
papel impregnado branco obh,3,0,0,0,0,0,0
papel impregnado gold,3,0,0,0,0,0,0
papel impregnado antiga inspetor,3,0,0,0,0,0,0
papel impregnado antuerpia,3,0,0,0,0,0,0
papel impregnado areia,3,0,0,0,0,0,0
papel impregnado rezo inspetor,3,0,0,0,0,0,0
papel impregnado argila inspetor,3,0,0,0,0,0,0
papel impregnado atacada,3,0,0,0,0,0,0
papel impregnado aura papel impregnado unimetalic nome digo fornecedor uni metal metalico dourado,3,0,0,0,0,0,0
papel impregnado vela iinpeo,3,0,0,0,0,0,0
papel impregnado azul ardosia papel impregnado fique calor nome digo fornecedor fique calor azul,3,0,0,0,0,0,0
papel impregnado barcelona inspetor,3,0,0,0,0,0,0
papel impregnado bege light,3,0,0,0,0,0,0
papel impregnado bege light inspetor,3,0,0,0,0,0,0
papel impregnado banco inspetor,3,0,0,0,0,0,0
papel impregnado biliao iinpeo,3,0,0,0,0,0,0
papel impregnado branco plus inspetor,3,0,0,0,0,0,0
papel impregnado bronze,3,0,0,0,0,0,0
papel impregnado canoas inspetor,3,0,0,0,0,0,0
papel impregnado carvalho barcelona,3,0,0,0,0,0,0
papel impregnado carvalho madre,3,0,0,0,0,0,0
papel impregnado causarem inspetor,3,0,0,0,0,0,0
papel impregnado champagne inspetor,3,0,0,0,0,0,0
papel impregnado cinza perfeito papel impregnado find nome digo fornecedor find cinza,3,0,0,0,0,0,0
papel impregnado cioccolato iinpeo,3,0,0,0,0,0,0
papel impregnado ire baixa iinpeo,3,0,0,0,0,0,0
papel impregnado cobre,3,0,0,0,0,0,0
papel impregnado cobre iinpeo,3,0,0,0,0,0,0
papel impregnado curupixa,3,0,0,0,0,0,0
papel impregnado curupixa rapado papel impregnado curupix nome digo fornecedor curupix slot rapado curupixa,3,0,0,0,0,0,0
papel impregnado diamante inspetor,3,0,1,0,0,0,0
papel impregnado erva mate papel impregnado find nome digo fornecedor find verde,3,0,0,0,0,0,0
papel impregnado vendi iinpeo,3,0,0,0,0,0,0
papel impregnado floresta,3,0,0,0,0,0,0
papel impregnado fog,3,0,0,0,0,0,0
papel impregnado freio rapado nome digo fornecedor aula freio rapado,3,0,0,0,0,0,0
papel impregnado ali papel impregnado trace nome digo fornecedor trace cometa,3,0,0,0,0,0,0
papel impregnado iris inspetor,3,0,0,0,0,0,0
papel impregnado ipe,3,0,0,0,0,0,0
papel impregnado jasper papel impregnado trace nome digo fornecedor trace metalico cobre,3,0,0,0,0,0,0
papel impregnado jean black iinpeo,3,0,0,0,0,0,0
papel impregnado jean black,3,0,0,0,0,0,0
papel impregnado linho inspetor,3,0,0,0,0,0,0
papel impregnado madre inspetor,3,0,0,0,0,0,0
papel impregnado magoe carvalho nome digo fornecedor liam impura magoe carvalho,3,0,0,0,0,0,0
papel impregnado magoe impura nome digo fornecedor liam impura magoe impura,3,0,0,0,0,0,0
papel impregnado magoe mel nome digo fornecedor liam impura magoe mel,3,0,0,0,0,0,0
papel impregnado male inspetor,3,0,0,0,0,0,0
papel impregnado sangue papel impregnado unicolor nome digo fornecedor unicolor cor escura,3,0,0,0,0,0,0
papel impregnado mal rezo,3,0,0,0,0,0,0
papel impregnado mexi branco,3,0,0,0,0,0,0
papel impregnado plano iinpeo,3,0,0,0,0,0,0
papel impregnado nossa inspetor,3,0,0,0,0,0,0
papel impregnado natural inspetor,3,0,0,0,0,0,0
papel impregnado neblina,3,0,0,0,0,0,0
papel impregnado new sherry iinpeo,3,0,0,0,0,0,0
papel impregnado noite,3,0,0,0,0,0,0
papel impregnado nua papel impregnado trace nome digo fornecedor trace metalico claro,3,0,0,0,0,0,0
papel impregnado ouro,3,0,0,0,0,0,0
papel impregnado papyrus iinpeo,3,0,0,0,0,0,0
papel impregnado pecar africa,3,0,0,0,0,0,0
papel impregnado pecar africa inspetor,3,0,0,0,0,0,0
papel impregnado pixel,3,0,0,0,0,0,0
papel impregnado platina papel impregnado unimetal nome digo fornecedor unimetal metalico prateado,3,0,0,0,0,0,0
papel impregnado preto inspetor,3,0,0,0,0,0,0
papel impregnado paulo,3,0,0,0,0,0,0
papel impregnado saw cut iinpeo,3,0,0,0,0,0,0
papel impregnado cavilha inspetor,3,0,0,0,0,0,0
papel impregnado tapar,3,0,0,0,0,0,0
papel impregnado tapar rapado papel impregnado tapar nome digo fornecedor tapar slot rapado tapar,3,0,0,0,0,0,0
papel impregnado tear papel impregnado textil nome digo fornecedor textil tear,3,0,0,0,0,0,0
papel impregnado tecto papel impregnado chino nome digo fornecedor chino metalico chino,3,0,0,0,0,0,0
papel impregnado terramoto,3,0,0,0,0,0,0
papel impregnado terreno papel impregnado greg nome digo fornecedor greg gianduia,3,0,0,0,0,0,0
papel impregnado rico,3,0,0,0,0,0,0
papel impregnado teria inspetor,3,0,0,0,0,0,0
papel impregnado desvio,3,0,0,0,0,0,0
papel impregnado grafite,3,0,0,0,0,0,0
papel impregnado origami,3,0,0,0,0,0,0
papel impregnado preto,3,0,0,0,0,0,0
papel impregnado underlay,3,0,0,0,0,0,0
papel impregnado alecrim,3,0,0,0,0,0,0
papel impregnado amava,3,0,0,0,0,0,0
papel impregnado atacaria,3,0,0,0,0,0,0
papel impregnado capuccino,3,0,0,0,0,0,0
papel impregnado cinza urbano,3,0,0,0,0,0,0
papel impregnado cosmos,3,0,0,0,0,0,0
papel impregnado niquel,3,0,0,0,0,0,0
papel impregnado quartzo,3,0,0,0,0,0,0
papel impregnado rosa milkshake,3,0,0,0,0,0,0
papel impregnado tecido,3,0,0,0,0,0,0
papel impregnado tijolo,3,0,0,0,0,0,0
papel impregnado marca papel impregnado find nome digo fornecedor find vendi matt,3,0,0,0,0,0,0
papel impregnado branco nano,3,0,0,0,0,0,0
papel impregnado carvalho natural,3,0,0,0,0,0,0
papel impregnado cinza argila,3,0,0,0,0,0,0
papel impregnado cinza causarem,3,0,0,0,0,0,0
papel impregnado vendi,3,0,0,0,0,0,0
papel impregnado montanha,3,0,0,0,0,0,0
papel impregnado fulo papel impregnado fulo,3,0,0,0,0,0,0
papel impregnado iceland,3,0,0,0,0,0,0
papel impregnado impura,3,0,0,0,0,0,0
papel impregnado marco,3,0,0,0,0,0,0
papel impregnado plano,3,0,0,0,0,0,0
papel impregnado negro,3,0,0,0,0,0,0
papel impregnado pau ferro,3,0,0,0,0,0,0
papel impregnado tela papel impregnado tela,3,0,0,0,0,0,0
papel impregnado crime,3,0,0,0,0,0,0
papel impregnado freio papel impregnado freio,3,0,0,0,0,0,0
papel impregnado pedra,3,0,0,0,0,0,0
papel impregnado pedra amostra,3,0,0,0,0,0,0
papel impregnado savana,3,0,0,0,0,0,0
papel ecologico produto servico papel ecologico centro custo solicitando aprovado utilizar padre grp impressos geral grs descrito complementar,3,0,0,0,0,0,0
papel mesma produto servico utilizar padre geral status cadastro estoque,3,0,0,0,0,0,0
papel base poder tapete produto servico utilizar padre impressora projeto descrito complementar est minimo max,3,0,0,0,0,0,0
papel emprego agente limpeza prato prensa produto servico papel emprego agente limpeza prato prensa dimensoes utilizar padre prato prensa descrito complementar estoque,3,0,0,0,0,0,0
papel fotos produto servico centro custo solicitando aprovado descrito complementar,3,0,0,0,0,0,0
etiqueta papel kart branco,3,0,0,0,0,0,0
fita empacotamento papel tomada,3,0,0,0,0,0,0
folha papelao hidraulico,3,0,0,0,0,0,0
junta papel hidraulico,3,0,0,0,0,0,0
papel fotografico laser mate,3,0,0,0,0,0,0
papelao hidraulico verde,3,0,0,0,0,0,0
