cliente,descricao,ncm,ite_unidade,cat1,cat2,cat3,Nova cat 1,Nova cat 2,Nova cat 3,,
base1,BASE FIXACAO PARA BOTAO COMANDO M22-A CODIGO 35625. BASE FIXACAO P/BOTAO COMANDO M22-A - CÓDIGO: 35625 - MARCA: EATON REVESTIMENTO BP2 - ,85389090,UN,MANUTENÇÃO ELÉTRICA,Materiais Elétricos,Acessórios Elétricos,Não Classificado,Não Classificado,Não Classificado,,
base1,BOTAO EMERGENCIA 1NF M22-PVT/K01 CODIGO 29967. BOTAO EMERGENCIA 1NF M22-PVT/K01 - CÓDIGO: 29967 - MARCA: EATON REVESTIMENTO BP2 - ,85365090,UN,MANUTENÇÃO ELÉTRICA,Materiais Elétricos,Botões Botoeir Sinalei Acionam,Não Classificado,Não Classificado,Não Classificado,,
base1,CONTATO 1NF PARA BOTAO COMANDO M22-K01 CODIGO 35623. CONTATO 1NF P/BOTAO COMANDO M22-K01 - CÓDIGO: 35623 - MARCA: EATON REVESTIMENTO BP2 - ,85369090,UN,MANUTENÇÃO ELÉTRICA,Materiais Elétricos,Acessórios Elétricos,Não Classificado,Não Classificado,Não Classificado,,
base1,FACA E CONTRA FACA GRAFICA INDUSTRIAL PARA CORTE DE PAPEL FACA E CONTRA FACA GRÁFICA INDUSTRIAL PARA CORTE DE PAPEL - ESTILO GUILHOTINA - DIMENSÕES: 2000 X 70 X 10 - ÂNGULO DO FIO PARA FACA: 80º ÂNGULO DO FIO PARA CONTRA FACA: 90º - FURAÇÃO: 12 FUROS PARA PARAFUSOS M10 PASSANTES - 180MM DE DISTANCIA OS MESMOS - FURAÇÃO CENTRAL NA CONTRA FACA E NA FACA SUPERIOR FURAÇÃO 40MM ACIMA DO FIO MESA DE GUILHOTINA BP1 ,84669200,UN,MATERIAIS SECUNDARIOS/AUXILIAR,Material Auxiliar de Produção,"Facas, Contra-Facas e Afins",Não Classificado,Não Classificado,Não Classificado,,
base1,PAPELAO VERDE NA 1002 1/8 TEADIT PAPELÃO VERDE NA 1002 1/8 TEADIT NCM 68159990 GERAL/ MDF3 - ,68159990,UN,MANUTENÇÃO MECÂNICA,Vedações,Papelão Hidráulico,Não Classificado,Não Classificado,Não Classificado,,
base1,"LUVA 1'' ACO CARBONO FORJADO ASTM A105 CLASSE 3000 LBS LUVA 1'' AÇO CARBONO FORJADO ASTM A105, CLASSE 3000 LBS, CONSTRUÇÃO CONFORME ANSI B.16.11. GERAL/ MDF 03 - ",73079200,UN,MANUTENÇÃO MECÂNICA,Conexões em Aço e Galvanizadas,Luvas,Não Classificado,Não Classificado,Não Classificado,,
base1,"LUVA 3/4'' ACO CARBONO FORJADO ASTM A105 CLASSE 3000 LBS LUVA 3/4'' AÇO CARBONO FORJADO ASTM A105, CLASSE 3000 LBS, CONSTRUÇÃO CONFORME ANSI B.16.11 GERAL/ MDF 03 - ",73079200,UN,MANUTENÇÃO MECÂNICA,Conexões em Aço e Galvanizadas,Luvas,Não Classificado,Não Classificado,Não Classificado,,
base1,TERM. LUVA P/EMENDA COMPRESSÃO P/CABO FLEX LF-16 16mm* GERAL - ,,UN,MANUTENÇÃO ELÉTRICA,Materiais Elétricos,Tubos Luvas Termoencolhiveis,Não Classificado,Não Classificado,Não Classificado,,
base1,MB -luva cardã mb atego A00041112450002 ,,UN,MANUTENÇÃO DE MÁQUINAS E FROTA,Peças para Máquinas,Peças Caminhões Mercedes,Não Classificado,Não Classificado,Não Classificado,,
base1,LUVA ESTRIADA 16 DENTES 70190-1 SPACER - CARDAN DO ACABAMENTO 1 - ,84219199,UN,MANUTENÇÃO MECÂNICA,Transmissão de Força,Motores e Cardans,Não Classificado,Não Classificado,Não Classificado,,
base1,BOTAO DE PRESSAO DO PAINEL DE VIDRO (AMARELO) SEM ELETRONICA BOTÃO DE PRESSÃO DO PAINEL DE VIDRO (AMARELO) SEM ELETRÔNICA DE ALARME / GLASS PANE PRESS BUTTON (YELLOW) WITHOUT ALARM ELECTRONICS GRECON* FORNECEDOR: GRECON - BICOS SISTEMA DE ALAGAMENTO MDF1 ,39269090,UN,MANUTENÇÃO DE EQUIPAMENTOS,Peças para Equipamentos,Peças Grecon,Não Classificado,Não Classificado,Não Classificado,,
base1,BOTAO PULSANTE COM SINALIZACAO VERDE 1NA 24V 3SB3245-0AA41 SIEMENS - MARCA: SIEMENS GERAL ,,UN,MANUTENÇÃO ELÉTRICA,Materiais Elétricos,Bobinas Contac Disjun Fusíveis,Não Classificado,Não Classificado,Não Classificado,,
base1,BOTAO PULSANTE COM SINALIZACAO BRANCO 1NA 24V BOTAO PULSANTE COM SINALIZACAO BRANCO COD.3SU1102-0AB60-1BAO1NA 24V - MARCA: SIEMENS - ANTIGO: 3SB3245-0AA61 GERAL ,85365090,UN,MANUTENÇÃO ELÉTRICA,Materiais Elétricos,Bobinas Contac Disjun Fusíveis,Não Classificado,Não Classificado,Não Classificado,,
base1,BOTAO PULSANTE BRANCO 1NA M22-D-W/K10 CODIGO 29938. BOTAO PULSANTE BRANCO 1NA M22-D-W/K10 - CÓDIGO: 29938 - MARCA: EATON REVESTIMENTO BP2 - ,85365090,UN,MANUTENÇÃO ELÉTRICA,Materiais Elétricos,Botões Botoeir Sinalei Acionam,Não Classificado,Não Classificado,Não Classificado,,
base1,TERM. LUVA P/EMENDA COMPRESSÃO P/CABO FLEX LF-25 25mm* GERAL - ,85359000,UN,MANUTENÇÃO ELÉTRICA,Materiais Elétricos,Tubos Luvas Termoencolhiveis,Não Classificado,Não Classificado,Não Classificado,,
base1,TERM. LUVA P/EMENDA COMPRESSÃO P/CABO FLEX LF-35 35mm* GERAL - ,,UN,MANUTENÇÃO ELÉTRICA,Materiais Elétricos,Tubos Luvas Termoencolhiveis,Não Classificado,Não Classificado,Não Classificado,,
base1,TERM. LUVA P/EMENDA COMPRESSÃO P/CABO FLEX LF-50 50mm* GERAL - ,85359000,UN,MANUTENÇÃO ELÉTRICA,Materiais Elétricos,Tubos Luvas Termoencolhiveis,Não Classificado,Não Classificado,Não Classificado,,
base1,"BOTAO TOUCH ILUMINADO DE PULSO SEM RETENCAO - K30APTXGF BOTÃO TOUCH ILUMINADO DE PULSO SEM RETENÇÃO - K30APTXGF2 - TENSÃO: 12-30 V CC; CARCAÇA: POLICARBONATO; IP67 IP69K, ROSCA DE MONTAGEM M22 X 1,5 - ENTRADA: PNP (NO); CORES: NENHUMA - ENERGIA APLICADA, VERDE - ENTRADA ATIVA - MARCA: BANENER REVESTIMENTO BP2 - ",85437099,UN,MANUTENÇÃO ELÉTRICA,Materiais Elétricos,Bobinas Contac Disjun Fusíveis,Não Classificado,Não Classificado,Não Classificado,,
base1,"LUVA PARA ELETRODUTO GALVANIZADO A FOGO NBR 5598 DIAMETRO 1"" LUVA PARA ELETRODUTO GALVANIZADO A FOGO - NBR 5598 - AÇO CARBONO - DIÂMETRO NOMINAL 1"" MDF3 - ",73071920,UN,MANUTENÇÃO MECÂNICA,Conexões em Aço e Galvanizadas,Luvas,Não Classificado,Não Classificado,Não Classificado,,
base1,"LUVA PARA ELETRODUTO GALVANIZADO A FOGO NBR 5598 DIAMETRO3/4 LUVA PARA ELETRODUTO GALVANIZADO A FOGO - NBR 5598 - AÇO CARBONO - DIÂMETRO NOMINAL 3/4"" MDF3 - ",73072200,UN,MANUTENÇÃO MECÂNICA,Conexões em Aço e Galvanizadas,Luvas,Não Classificado,Não Classificado,Não Classificado,,
base1,Papel para colagem correia pvc ,59100000,UN,MANUTENÇÃO MECÂNICA,Transmissão de Força,"Correias (A,B,C e Afins)",Não Classificado,Não Classificado,Não Classificado,,
base1,OBSOLETO BOTAO PULSANTE VERMELHO SEM LED BOTAO PULSANTE VERMELHO SEM LED - STATUS DO CADASTRO: OBSOLETO,,UN,MANUTENÇÃO ELÉTRICA,Materiais Elétricos,Bobinas Contac Disjun Fusíveis,Não Classificado,Não Classificado,Não Classificado,,
base1,Ponteira e Luva Entalhada Contra Faca Torno Benecke Em Aço 8 Ponteira e luva Entalhada Contra Faca Torno Benecke Em Aço 8640 Temperado E Revenido Fornecedor 47301 Orso Equipamentos  GUILHOTINAS,84849000,UN,MANUTENÇÃO DE EQUIPAMENTOS,Peças para Equipamentos,Peças Tornos - Compensado,Não Classificado,Não Classificado,Não Classificado,,
base1,"PHOENIX LUVA DE IDENT. P/CABO PATG 1/15 0,75-1,5MM² - 1 013025 FORNECEDOR: MW ENGENHARIA. - IDENTIFICAÇÕES EM GERAL - - ",90312090,UN,MANUTENÇÃO ELÉTRICA,Materiais Elétricos,Fios Cabos Identific de Cabos,Não Classificado,Não Classificado,Não Classificado,,
base1,LUVAS E NUMEROS DE FIOS - MATERIAIS ELÉTRICOS PROJETO CONTROLE DE NÍVEL PA - - ,90312090,UN,MANUTENÇÃO ELÉTRICA,Materiais Elétricos,Acessórios Elétricos,Não Classificado,Não Classificado,Não Classificado,,
base1,Cab luva pino cilindro tilt ,,UN,MANUTENÇÃO DE MÁQUINAS E FROTA,Peças para Máquinas,Peças Cabeçotes de Corte,Não Classificado,Não Classificado,Não Classificado,,
base1,CABECOTE PULSANTE PARA BOTAO LUMINOSO VERDE 3SB3001-0AA 41 - MARCA: SIEMENS CALDEIRA MDF1 - - ,90312090,UN,MANUTENÇÃO ELÉTRICA,Materiais Elétricos,Bobinas Contac Disjun Fusíveis,Não Classificado,Não Classificado,Não Classificado,,
base1,"LUVA IDENTIFICACAO P/CABO 0,75 - 1,5MM PATG 1/15 COD.1013025 LUVA DE IDENTIFICACAO P/CABO 0,75 - 1,5MM PATG 1/15 - COD.1013025 PHOENIX - COD.G115 PAT 4X15MM 1,5-25MM² GERAL ",39204900,UN,MANUTENÇÃO ELÉTRICA,Materiais Elétricos,Fios Cabos Identific de Cabos,Não Classificado,Não Classificado,Não Classificado,,
base2,CINTO DE SEGURANCA,61019090,UN,MATERIAIS,EPI,CINTOS,Não Classificado,Não Classificado,Não Classificado,,
base2,REFIL LUVA ACRILICA BRANCA,39261000,UN,MATERIAIS,MATERIAL DE HIGIENE E LIMPEZA,UTENSILIOS DE LIMPEZA,Não Classificado,Não Classificado,Não Classificado,,
base2,CONJUNTO BASE FERRAMENTA ESTAMPO PAPELAO 164 X 238 (MM),82073000,UN,MATERIAIS,MOLDES,"MOLDES, FERRAMENTAS E COMPONENTES",Não Classificado,Não Classificado,Não Classificado,,
base2,CONJUNTO MATRIZ E PUNCAO FERRAMENTA ESTAMPO PAPELAO Ø114 (MM,82073000,UN,MATERIAIS,MOLDES,"MOLDES, FERRAMENTAS E COMPONENTES",Não Classificado,Não Classificado,Não Classificado,,
base2,BOTAO POWER CELULAR,0,UN,MATERIAIS,MATERIAL DE CONSUMO,ITENS DE TELEFONIA,Não Classificado,Não Classificado,Não Classificado,,
base2,BOTA ITALBOTAS SUPERMAX CL PT 43 CA28489,64019200,PR,MATERIAIS,EPI,BOTA/SAPATO,Não Classificado,Não Classificado,Não Classificado,,
base2,LUVA VOLK NITR. AZ SENSIVOLK CANO MEDIO T7 (P) CA 17129,40151900,CX,MATERIAIS,EPI,LUVAS,Não Classificado,Não Classificado,Não Classificado,,
base2,LUVA 3/4,0,UN,MATERIAIS,ATIVO IMOBILIZADO,MAQUINAS E EQUIPAMENTOS,Não Classificado,Não Classificado,Não Classificado,,
base2,"BOBINA PAPELAO HIDRAULICO NI2085G 0,0155",68159990,M2,MATERIAIS,MATERIA PRIMA,MP-JUNTAS-MANTA FIBRA CELULOSE,Não Classificado,Não Classificado,Não Classificado,,
base2,CANETA TOUCH STYLUS TABLET COM CORDAO ALCA PARA FIXACAO,0,UN,MATERIAIS,MATERIAL DE CONSUMO,SUPRIMENTOS DE INFORMATICA,Não Classificado,Não Classificado,Não Classificado,,
base2,"BOBINA PAPELAO HIDRAULICO NI2085G 0,008""",68159990,M2,MATERIAIS,MATERIA PRIMA,MP-JUNTAS-MANTA FIBRA CELULOSE,Não Classificado,Não Classificado,Não Classificado,,
base2,LUVA RASPA SEM REFORCO 18CM 5 DEDOS CA 9119,34022000,PR,MATERIAIS,EPI,LUVAS,Não Classificado,Não Classificado,Não Classificado,,
base2,BOTAO ACIONAMENTO,94019090,UN,MATERIAIS,MATERIAL DE CONSUMO,MATERIAL MANUTENCAO PREDIAL,Não Classificado,Não Classificado,Não Classificado,,
base2,MAQUINA DE PREGAR BOTAO,0,UN,MATERIAIS,MATERIAL DE CONSUMO,MOVEIS E UTENSILIOS,Não Classificado,Não Classificado,Não Classificado,,
base2,LUVA DE REDUCAO MANGUEIRA PU 10 PRA 8,40129090,UN,MATERIAIS,MATERIAL DE CONSUMO,MATERIAIS PNEUMATICOS,Não Classificado,Não Classificado,Não Classificado,,
base2,SAPATO MARLUVAS 50F61 SRV BID ELAS PT 40 CA 32817,64039990,PR,MATERIAIS,EPI,BOTA/SAPATO,Não Classificado,Não Classificado,Não Classificado,,
base2,SAPATO MARLUVAS 50F61 SRV BID ELAS PT 44 CA 32817,64059000,PR,MATERIAIS,EPI,BOTA/SAPATO,Não Classificado,Não Classificado,Não Classificado,,
base2,SAPATO MARLUVAS 50F61 SRV BID ELAS PT 35 CA 32817,64059000,PR,MATERIAIS,EPI,BOTA/SAPATO,Não Classificado,Não Classificado,Não Classificado,,
base2,PALMILHA NR 44 MARLUVAS,0,UN,MATERIAIS,EPI,UNIFORMES,Não Classificado,Não Classificado,Não Classificado,,
base2,LUVAS BAIXA TENSAO TRABALHO 500V PICO 2500V (CLASSE 00),0,PR,MATERIAIS,EPI,LUVAS,Não Classificado,Não Classificado,Não Classificado,,
base2,LUVAS VAQUETA DE COBERTURA PARA LUVAS DE TENSAO G,0,PR,MATERIAIS,EPI,LUVAS,Não Classificado,Não Classificado,Não Classificado,,
base2,SAPATO MARLUVAS 50F61 SRV BID ELAS PT 46 CA 32817,64059000,UN,MATERIAIS,EPI,BOTA/SAPATO,Não Classificado,Não Classificado,Não Classificado,,
base2,LUVA SILICONE,39241000,UN,MATERIAIS,MATERIAL DE COZINHA,UTENSILIOS DE COZINHA,Não Classificado,Não Classificado,Não Classificado,,
base2,LUVA DE BORR. C/PINGADEIRA - COMPRA,40169300,MI,MATERIAIS,MATERIA PRIMA,MP-PRODUTOS DE REVENDA,Não Classificado,Não Classificado,Não Classificado,,
base2,LUVA DE BORR CMP COM PINGADEIRA 100029053,84807100,UN,MATERIAIS,MOLDES,"MOLDES, FERRAMENTAS E COMPONENTES",Não Classificado,Não Classificado,Não Classificado,,
base2,BOTA SETE LEGUAS CAPAT PTA 41,64019200,PC,MATERIAIS,EPI,BOTA/SAPATO,Não Classificado,Não Classificado,Não Classificado,,
base2,BOTINA NOBUCK MARROM CADAR. SOLA BI42 50B26 MARLUVAS CA13808,64039990,PR,MATERIAIS,EPI,BOTA/SAPATO,Não Classificado,Não Classificado,Não Classificado,,
base2,LUVA DE LATAO,74122000,PC,MATERIAIS,MATERIAL DE CONSUMO,MATERIAL MANUTENCAO PREDIAL,Não Classificado,Não Classificado,Não Classificado,,
base2,"BOBINA PAPELAO HIDRAULICO NI2085G 0,011""",68159990,M2,MATERIAIS,MATERIA PRIMA,MP-JUNTAS-MANTA FIBRA CELULOSE,Não Classificado,Não Classificado,Não Classificado,,
base2,"BOBINA PAPELAO HIDRAULICO NI2085G 0,023""",68159990,M2,MATERIAIS,MATERIA PRIMA,MP-JUNTAS-MANTA FIBRA CELULOSE,Não Classificado,Não Classificado,Não Classificado,,
base2,"BOBINA PAPELAO HIDRAULICO NI2085G 0,017""",68159990,M2,MATERIAIS,MATERIA PRIMA,MP-JUNTAS-MANTA FIBRA CELULOSE,Não Classificado,Não Classificado,Não Classificado,,
base2,"BOBINA PAPELAO HIDRAULICO NI2085G 0,014""",68159990,M2,MATERIAIS,MATERIA PRIMA,MP-JUNTAS-MANTA FIBRA CELULOSE,Não Classificado,Não Classificado,Não Classificado,,
base2,"BOBINA PAPELAO HIDRAULICO NI2085G 0,020""",68159990,M2,MATERIAIS,MATERIA PRIMA,MP-JUNTAS-MANTA FIBRA CELULOSE,Não Classificado,Não Classificado,Não Classificado,,
base2,"BOBINA PAPELAO HIDRAULICO NI2085G 0,029""",68159990,M2,MATERIAIS,MATERIA PRIMA,MP-JUNTAS-MANTA FIBRA CELULOSE,Não Classificado,Não Classificado,Não Classificado,,
base2,"BOBINA PAPELAO HIDRAULICO NI2085G 0,032""",68159990,M2,MATERIAIS,MATERIA PRIMA,MP-JUNTAS-MANTA FIBRA CELULOSE,Não Classificado,Não Classificado,Não Classificado,,
base2,"BOBINA PAPELAO HIDRAULICO NI2085G 0,021""",68159990,M2,MATERIAIS,MATERIA PRIMA,MP-JUNTAS-MANTA FIBRA CELULOSE,Não Classificado,Não Classificado,Não Classificado,,
base2,"BOBINA PAPELAO HIDRAULICO NI2085G 0,022""",68159990,M2,MATERIAIS,MATERIA PRIMA,MP-JUNTAS-MANTA FIBRA CELULOSE,Não Classificado,Não Classificado,Não Classificado,,
base2,"BOBINA PAPELAO HIDRAULICO NI2085G 0,027""",68159990,M2,MATERIAIS,MATERIA PRIMA,MP-JUNTAS-MANTA FIBRA CELULOSE,Não Classificado,Não Classificado,Não Classificado,,
base2,"BOBINA PAPELAO HIDRAULICO NI2085G 0,028""",68159990,M2,MATERIAIS,MATERIA PRIMA,MP-JUNTAS-MANTA FIBRA CELULOSE,Não Classificado,Não Classificado,Não Classificado,,
base2,"BOBINA PAPELAO HIDRAULICO NI2085G 0,030""",68159990,M2,MATERIAIS,MATERIA PRIMA,MP-JUNTAS-MANTA FIBRA CELULOSE,Não Classificado,Não Classificado,Não Classificado,,
base2,"BOBINA PAPELAO HIDRAULICO NI2085G 0,031""",68159990,M2,MATERIAIS,MATERIA PRIMA,MP-JUNTAS-MANTA FIBRA CELULOSE,Não Classificado,Não Classificado,Não Classificado,,
base2,"BOBINA PAPELAO HIDRAULICO NI2085G 0,033""",68159990,M2,MATERIAIS,MATERIA PRIMA,MP-JUNTAS-MANTA FIBRA CELULOSE,Não Classificado,Não Classificado,Não Classificado,,
base2,"BOBINA PAPELAO HIDRAULICO NI2085G 0,009""",68159990,M2,MATERIAIS,MATERIA PRIMA,MP-JUNTAS-MANTA FIBRA CELULOSE,Não Classificado,Não Classificado,Não Classificado,,
base2,"BOBINA PAPELAO HIDRAULICO NI2085G 0,034""",68159990,M2,MATERIAIS,MATERIA PRIMA,MP-JUNTAS-MANTA FIBRA CELULOSE,Não Classificado,Não Classificado,Não Classificado,,
base2,"BOBINA PAPELAO HIDRAULICO NI2085G 0,035""",68159990,M2,MATERIAIS,MATERIA PRIMA,MP-JUNTAS-MANTA FIBRA CELULOSE,Não Classificado,Não Classificado,Não Classificado,,
base2,"BOBINA PAPELAO HIDRAULICO NI2085G 0,025""",68159990,M2,MATERIAIS,MATERIA PRIMA,MP-JUNTAS-MANTA FIBRA CELULOSE,Não Classificado,Não Classificado,Não Classificado,,
base2,"BOBINA PAPELAO HIDRAULICO NI2085G 0,026""",68159990,M2,MATERIAIS,MATERIA PRIMA,MP-JUNTAS-MANTA FIBRA CELULOSE,Não Classificado,Não Classificado,Não Classificado,,
base2,"BOBINA PAPELAO HIDRAULICO NI-2085 0,8 MM",68159990,M2,MATERIAIS,MATERIA PRIMA,MP-JUNTAS-MANTA FIBRA CELULOSE,Não Classificado,Não Classificado,Não Classificado,,
base2,"BOBINA PAPELAO HIDRAULICO NI2085G 0,016""",68159990,M2,MATERIAIS,MATERIA PRIMA,MP-JUNTAS-MANTA FIBRA CELULOSE,Não Classificado,Não Classificado,Não Classificado,,
base2,"BOBINA PAPELAO HIDRAULICO NI2085G 0,0165",68159990,M2,MATERIAIS,MATERIA PRIMA,MP-JUNTAS-MANTA FIBRA CELULOSE,Não Classificado,Não Classificado,Não Classificado,,
base2,"BOBINA PAPELAO HIDRAULICO NI-2085 0,4 MM",68159990,M2,MATERIAIS,MATERIA PRIMA,MP-JUNTAS-MANTA FIBRA CELULOSE,Não Classificado,Não Classificado,Não Classificado,,
base2,"BOBINA PAPELAO HIDRAULICO NI2085G 0,024""",68159990,M2,MATERIAIS,MATERIA PRIMA,MP-JUNTAS-MANTA FIBRA CELULOSE,Não Classificado,Não Classificado,Não Classificado,,
base2,"BOBINA PAPELAO HIDRAULICO NI2085G 0,036""",68159990,M2,MATERIAIS,MATERIA PRIMA,MP-JUNTAS-MANTA FIBRA CELULOSE,Não Classificado,Não Classificado,Não Classificado,,
base2,"BOBINA PAPELAO HIDRAULICO NI2085G 0,010""",68159990,M2,MATERIAIS,MATERIA PRIMA,MP-JUNTAS-MANTA FIBRA CELULOSE,Não Classificado,Não Classificado,Não Classificado,,
base2,"BOBINA PAPELAO HIDRAULICO NI2085G 0,012""",68159990,M2,MATERIAIS,MATERIA PRIMA,MP-JUNTAS-MANTA FIBRA CELULOSE,Não Classificado,Não Classificado,Não Classificado,,
base2,"BOBINA PAPELAO HIDRAULICO NI2085G 0,013""",68159990,M2,MATERIAIS,MATERIA PRIMA,MP-JUNTAS-MANTA FIBRA CELULOSE,Não Classificado,Não Classificado,Não Classificado,,
base2,"BOBINA PAPELAO HIDRAULICO NI2085G 0,0135",68159990,M2,MATERIAIS,MATERIA PRIMA,MP-JUNTAS-MANTA FIBRA CELULOSE,Não Classificado,Não Classificado,Não Classificado,,
base2,"BOBINA PAPELAO HIDRAULICO NI2085G 0,018""",68159990,M2,MATERIAIS,MATERIA PRIMA,MP-JUNTAS-MANTA FIBRA CELULOSE,Não Classificado,Não Classificado,Não Classificado,,
base2,"BOBINA PAPELAO HIDRAULICO NI2085G 0,019""",68159990,M2,MATERIAIS,MATERIA PRIMA,MP-JUNTAS-MANTA FIBRA CELULOSE,Não Classificado,Não Classificado,Não Classificado,,
base2,"BOBINA PAPELAO HIDRAULICO NI-2085 0,5 MM",68159990,M2,MATERIAIS,MATERIA PRIMA,MP-JUNTAS-MANTA FIBRA CELULOSE,Não Classificado,Não Classificado,Não Classificado,,
base2,"BOBINA PAPELAO HIDRAULICO NI2085G 0,039""",68159990,M2,MATERIAIS,MATERIA PRIMA,MP-JUNTAS-MANTA FIBRA CELULOSE,Não Classificado,Não Classificado,Não Classificado,,
base2,"BOBINA PAPELAO HIDRAULICO NI2085G 0,0145",68159990,M2,MATERIAIS,MATERIA PRIMA,MP-JUNTAS-MANTA FIBRA CELULOSE,Não Classificado,Não Classificado,Não Classificado,,
base2,"BOBINA PAPELAO HIDRAULICO NI2085G 0,0125",68159990,M2,MATERIAIS,MATERIA PRIMA,MP-JUNTAS-MANTA FIBRA CELULOSE,Não Classificado,Não Classificado,Não Classificado,,
base2,PAPEL HIG. 60MX10CM DUETO,48181000,UN,MATERIAIS,MATERIAL DE HIGIENE E LIMPEZA,PRODUTOS DE LIMPEZA,Não Classificado,Não Classificado,Não Classificado,,
base2,LUVA DE LATEX NITRILICO VERDE PRONIT 920 PROMAT TAM9 CA31944,34022000,PR,MATERIAIS,EPI,LUVAS,Não Classificado,Não Classificado,Não Classificado,,
base2,LUVA POLIAMIDA HELANCA BRANCA 06 FIOS BIGCOMPRE TAMG CA32214,61169300,PR,MATERIAIS,EPI,LUVAS,Não Classificado,Não Classificado,Não Classificado,,
base2,LUVA PARA JATO AREIA CANO LONGO DE LONA PROMAT CA 1713,34022000,PR,MATERIAIS,EPI,LUVAS,Não Classificado,Não Classificado,Não Classificado,,
base2,LUVA PVC 36CM VERDE,34022000,PR,MATERIAIS,EPI,LUVAS,Não Classificado,Não Classificado,Não Classificado,,
base2,LUVA RASPA 1 DEDO,34022000,UN,MATERIAIS,EPI,LUVAS,Não Classificado,Não Classificado,Não Classificado,,
base2,LUVA EPITEC RASPA ECONOMICA P 7CM NYLON CA 16884,34022000,PR,MATERIAIS,EPI,LUVAS,Não Classificado,Não Classificado,Não Classificado,,
base2,SAPATO MARLUVAS 50F61 SRV BID ELAS PT 33 CA 32817,64059000,PR,MATERIAIS,EPI,BOTA/SAPATO,Não Classificado,Não Classificado,Não Classificado,,
base2,SAPATO MARLUVAS 50F61 SRV BID ELAS PT 37 CA 32817,64059000,PR,MATERIAIS,EPI,BOTA/SAPATO,Não Classificado,Não Classificado,Não Classificado,,
base2,SAPATO MARLUVAS 50F61 SRV BID ELAS PT 38 CA 32817,64059000,PR,MATERIAIS,EPI,BOTA/SAPATO,Não Classificado,Não Classificado,Não Classificado,,
base2,SAPATO MARLUVAS 50F61 SRV BID ELAS PT 39 CA 32817,64039990,PR,MATERIAIS,EPI,BOTA/SAPATO,Não Classificado,Não Classificado,Não Classificado,,
base2,SAPATO MARLUVAS 50F61 SRV BID ELAS PT 41 CA 32817,64059000,PR,MATERIAIS,EPI,BOTA/SAPATO,Não Classificado,Não Classificado,Não Classificado,,
base2,SAPATO MARLUVAS 50F61 SRV BID ELAS PT 42 CA 32817,64039990,PR,MATERIAIS,EPI,BOTA/SAPATO,Não Classificado,Não Classificado,Não Classificado,,
base2,SAPATO MARLUVAS 50F61 SRV BID ELAS PT 43 CA 32817,64059000,PR,MATERIAIS,EPI,BOTA/SAPATO,Não Classificado,Não Classificado,Não Classificado,,
base2,LUVA ALTA TENSAO CLASSE 00 - NBR 10622 (500V) C.A 2178,40151900,PR,MATERIAIS,EPI,LUVAS,Não Classificado,Não Classificado,Não Classificado,,
base2,SAPATO MARLUVAS 50F61 SRV BID ELAS PT 36 CA 32817,64039990,PR,MATERIAIS,EPI,BOTA/SAPATO,Não Classificado,Não Classificado,Não Classificado,,
base2,SAPATO MARLUVAS 50F61 SRV BID ELAS PT 34 CA 32817,64059000,PR,MATERIAIS,EPI,BOTA/SAPATO,Não Classificado,Não Classificado,Não Classificado,,
base2,MANTA DE PAPELAO HIDR. 1.6 HFL-971,68159990,M2,MATERIAIS,MATERIA PRIMA,MP-JUNTAS-MANTA FIBRA CELULOSE,Não Classificado,Não Classificado,Não Classificado,,
base2,INJ.LUVA BORR.C/PING.(100029053)TENE,40169300,MI,MATERIAIS,MATERIA PRIMA,MP-SERV. INDUSTRIALIZ.,Não Classificado,Não Classificado,Não Classificado,,
base2,PAPEL HIG. ROLO COM 300 MTS,48181000,UN,MATERIAIS,MATERIAL DE HIGIENE E LIMPEZA,PRODUTOS DE LIMPEZA,Não Classificado,Não Classificado,Não Classificado,,
base2,LUVA DE VINIL P/ PROCEDIMENTO NAO ESTERIL CX C/100 UNIDADES,34022000,CX,MATERIAIS,EPI,LUVAS,Não Classificado,Não Classificado,Não Classificado,,
base2,LUVA EPITEC 603 BRANCA T09 CA 16098,61161000,PR,MATERIAIS,EPI,LUVAS,Não Classificado,Não Classificado,Não Classificado,,
base2,MOLDE LUVA DE BORRACHA CMP MOL.199,84807100,UN,MATERIAIS,ATIVO IMOBILIZADO,MOLDES E FERRAMENTAS,Não Classificado,Não Classificado,Não Classificado,,
base2,LUVA EPITEC GRAFATEX 5 FIO 40CM CZ P-LON,40151900,PR,MATERIAIS,EPI,LUVAS,Não Classificado,Não Classificado,Não Classificado,,
base2,"BOBINA PAPELAO HIDRAULICO NI2085G 0,0105",68159990,M2,MATERIAIS,MATERIA PRIMA,MP-JUNTAS-MANTA FIBRA CELULOSE,Não Classificado,Não Classificado,Não Classificado,,
base2,LUVA DE REDUCAO MANGUEIRA P.U 8 PRA 6,40129090,UN,MATERIAIS,MATERIAL DE CONSUMO,MATERIAIS PNEUMATICOS,Não Classificado,Não Classificado,Não Classificado,,
base2,SERV. DE HIGIENIZACAO DE LUVAS,0,UN,SERVICOS,SERVICOS,SERVICOS EPI,Não Classificado,Não Classificado,Não Classificado,,
base2,BOTA ITALBOTAS SUPERMAX CL PT 40 CA28489,64019200,PR,MATERIAIS,EPI,BOTA/SAPATO,Não Classificado,Não Classificado,Não Classificado,,
