descricao,Categoria
LUVA 37-175 SOLVEX VERDE C/F CA 12705 - M,Epi
LUVA 37-175 SOLVEX VERDE C/F CA 12705 - P,Epi
LUVA 37-185 SALVEX VERDE SF C.A 12598-9 TAMANHO,Epi
LUVA 37-210 VERSATOUCH AZUL 32CM CA33858,Epi
LUVA 48-701 EDGE FIO RES CORTE CA33859-08,Epi
LUVA 48-701 EDGE FIO RES CORTE CA33859-09,Epi
LUVA 48-701 EDGE FIO RES CORTE CA33859-10,Epi
LUVA 4 FIOS ALG PRETA PIGMENTADA CA 33244,Epi
LUVA 4 FIOS PIGMENTADA PROMAT CA 4699 340PG/4 TAM G,Epi
LUVA 82-134 DESCARTAVEL EDGE NITRILICA CA 42653 - 08,Epi
LUVA 87-224 CHEMI-PRO CA 12872 - 8,Epi
LUVA 87-224 CHEMI-PRO CA 12872 - 9,Epi
LUVA 92-575 DESCARTAVEL AZ TNT C/TALC CA 12372 / CA,Epi
LUVA 92-575 DESCARTAVEL AZUL TNT CA 43217 - 09,Epi
LUVA ALGODAO PIGMENTADA AZUL PROMAT 340P/3,Epi
LUVA ANSELL CHEMI-PRO 224 TAM 10 12872,Epi
LUVA CIRURGICA P CA 15112,Epi
LUVA DA-36201 NITRIL VERDE CA 25313 - G,Epi
LUVA DA-36201 NITRIL VERDE CA 25313 - GG,Epi
LUVA DA-36201 NITRIL VERDE CA 25313 - M,Epi
LUVA DA-36201 NITRIL VERDE CA 25313 - P,Epi
LUVA DA-90200 NITRIL SENS FL AZ S/TAL CA42979/25091-P,Epi
LUVA DA-90500 SENSIFLEX ULTRA - TAMANHO G - CA 42711,Epi
LUVA DA-90500 SENSIFLEX ULTRA - TAMANHO M - CA 42711,Epi
LUVA DA-90500 SENSIFLEX ULTRA - TAMANHO P - CA 42711,Epi
LUVA DE ALGODAO PTA PIGMENTADA PRETA SUPER SAFETY CA27138 33818,Epi
LUVA DE COMBATE A INCENDIO JOB FIRE - TAM GG,Epi
LUVA DE MALHA PIGMENTADA YELING - CA37500,Epi
LUVA DE NEOPRENE SOB LATEX LEAL CA 13015 TAM G,Epi
LUVA DE NEOPRENE SOB LATEX LEAL CA 13015 TAM GG,Epi
LUVA DE NEOPRENE SOB LATEX LEAL CA 13015 TAM M,Epi
LUVA DE NEOPRENE SOB LATEX LEAL CA 13015 TAM P,Epi
LUVA DE PROCEDIMENTO VOLK LATEX AMBI - DEST G,Epi
LUVA DE PROCEDIMENTO VOLK LATEX AMBI - DEST M,Epi
LUVA DE PROCEDIMENTO VOLK LATEX AMBI - DEST P,Epi
LUVA DE PROCEDIMENTO VOLK LATEX AMBI - DEST PP,Epi
LUVA DESCARTAVEL VOLK AZ NITRIL S/TALCO CA 17129 TAM G - CAIXA,Epi
LUVA DESCARTAVEL VOLK AZ NITRIL S/TALCO CA 17129 TAM GG - CAIXA,Epi
LUVA DESCARTAVEL VOLK AZ NITRIL S/TALCO CA 17129 TAM M - CAIXA,Epi
LUVA DESCARTAVEL VOLK AZ NITRIL S/TALCO CA 17129 TAM P - CAIXA,Epi
LUVA KALIPSO NEOPREX LATEX T-G 02.06.1.3,Epi
LUVA KALIPSO PANO TATEX EMBURRAC BR,Epi
LUVA LATEX NEOMIX 0642/07 PROMAT TAMANHO G,Epi
LUVA LATEX NEOMIX 0642/07 PROMAT TAMANHO M,Epi
LUVA LATEX NEOMIX 0642/07 PROMAT TAMANHO P,Epi
LUVA LATEX NEOMIX 0642/07 PROMAT TAMANHO XG,Epi
LUVA LATEX NITRILICA VERDE FORRADA G,Epi
LUVA MALHA NITRILON 659/09 PROMAT,Epi
LUVA MAO LATEX DELTA PLUS 8/9,Epi
LUVA MAO LATEX DELTA PLUS 9/10,Epi
LUVA MAO LATEX LUVIMAX 07,Epi
LUVA MAO LATEX LUVIMAX 08,Epi
LUVA MUCAMBO-PRO 310 BANHO DE LATEX ANTIDE/ PA563 10 /8-,Epi
LUVA NITRIL FULL VOLK TAM M,Epi
LUVA NITRILICA DESC. SENSI SOFT CA 35633,Epi
LUVA NITRILICA SENSIFLEX FLEX DANNY CA25091 TAMANHO G,Epi
LUVA NITRILICA SENSIFLEX FLEX DANNY CA25091 TAMANHO M,Epi
LUVA NITRILICA SENSIFLEX FLEX DANNY CA25091 TAMANHO P,Epi
LUVA NITRILICA SENSIFLEX FLEX DANNY CA25091 TAMANHO XG,Epi
LUVA PARA AGENTES QUIMICOS E TERMICOS CA25850 ANSELL,Epi
LUVA PARA BOMBEIRO FORRO FIXO ZIP+VEL TAM G,Epi
LUVA PARA PROTEÇÃO CONTRA AGENTES MECÂNICOS E QUÍMICOS CA 16313,Epi
LUVA PARA PROTEÇÃO CONTRA AGENTES MECÂNICOS E QUÍMICOS CA 16313 G,Epi
LUVA PARA PROTEÇÃO CONTRA AGENTES MECÂNICOS E QUÍMICOS CA 16313 GG,Epi
LUVA PARA PROTEÇÃO CONTRA AGENTES MECÂNICOS E QUÍMICOS CA 16313 M,Epi
LUVA PARA PROTECAO DE AGENTES MECANICOS E QUIMICOS CA 34570,Epi
LUVA PIGMENTADA BLACK VOLK 4 FIOS CA 36347,Epi
LUVA POLIAMIDA SENSILING 1670 PU/PRETA CA 14628 TAM G,Epi
LUVA PROCEDIMENTO DESCARPACK CA9618 - P,Epi
LUVA PROCEDIMENTO SUPERMAX/AURELIA CAIXA COM 100 TAMANHO G,Epi
LUVA PROCEDIMENTO SUPERMAX/AURELIA CAIXA COM 100 TAMANHO M,Epi
LUVA PROCEDIMENTO SUPERMAX/AURELIA CAIXA COM 100 TAMANHO P,Epi
LUVA PROCEDIMENTO SUPERMAX/AURELIA EP,Epi
LUVA PROCEDIMENTO SUPERMAX CA 13030 - XP,Epi
LUVAS LATEX NITRILICA VERDE FORRADA M,Epi
LUVA SUPER GREEN CA.33334 TAM (G),Epi
LUVA VOLK NITRIL FULL CA 25280 TAM M,Epi
LUVA VOLK ORANGE PALMA VULCANIZADA CA21367-G,Epi
"Luva Canavieira C/ Ilhos Grafatex Tamanho ""G"" Para Canhoto LUVA CANAVIEIRA C/ ILHOS GRAFATEX TAMANHO ""G"" PARA CANHOTO",Epi
Luva Em Thermex S Suedine De Meta-Aramida (Tipo Suador) Luva Operacional Para Eletricista Mod. 05 Dedos Reversivel Confeccionada em Thermex S Suedine de Meta-Aramida 294g/m2 (Tipo Suador) - Referencia 3048002 - CA 14493 para utilizacao sob a Luva de Borracha Comprimento Total 30Cm Tamanho Unico. - Protecao Contra Queimaduras Ocasionadas Por Arcos Voltaicos.,Epi
LUVA FLEXCUT LONGA CA 34000 TAM G LUVA DE SEGURANCA CONFECCIONADA EM POLIETILENO DE ALTA DENSIDADE E REVESTIMENTO NITRILICO- PARA USO PROTECAO DAS MAOS CONTRA AGENTES ABRASIVOS. ESCORIANTES CORTANTES E PERFURANTES E CONTRA AGENTES TERMICOS (CALOR DE CONTATO) REFERENCIA PRODUTO DA-45.300 / DA-45.300L- FABRICANTE DVT COMERCIO- C.A 34000- TAMANHO G-,Epi
LUVA FLEXCUT LONGA CA 34000 TAM XG LUVA DE SEGURANCA CONFECCIONADA EM POLIETILENO DE ALTA DENSIDADE E REVESTIMENTO NITRILICO- PARA USO PROTECAO DAS MAOS CONTRA AGENTES ABRASIVOS. ESCORIANTES CORTANTES E PERFURANTES E CONTRA AGENTES TERMICOS (CALOR DE CONTATO) REFERENCIA PRODUTO DA-45.300 / DA-45.300L- FABRICANTE DVT COMERCIO- C.A 34000- TAMANHO XG-,Epi
"Luva Kanaflex 1.1/2"" - Aplicação: DMNL",Epi
Luva Latex C/ Palma Antiderrapante Tam. G LUVA DE SEGURANÇA CONFECCIONADA EM LÁTEX NATURAL ANTIDERRAPANTE NA PALMA DEDOS E UNHA. MARCAS APROVADAS PELA SEGURANÇA DO TRABALHO: MUCAMBO CA: 43352 E SANRO CA: 43301,Epi
Luva Latex C/ Palma Antid. Tam.8g Punho 15cm LUVA DE LATEX C/PALMA ANTIDERRAPANTE PUNHO C/15cm. MARCA SANRO/ - OU MUCAMBO.,Epi
LUVA LATEX NATURAL LJ TAM P CA 10837 LUVA LATEX NATURAL- PROTECAO REFORCADA- INTERIOR COM SUPORTE TEXTIL 100% ALGODAO- PALMA ANTIDERRAPANTE- COR LARANJA- TAMANHO P- NORMA C.A. 10387- APLICACAO: EPI - PROTECAO DAS MAOS,Epi
Luva Latex Nitrilico Cor Verde Tam. 08 ( M ) LUVA DE SEGURANÇA CONFECCIONADA EM LÁTEX NITRÍLICO ANTIDERRAPANTE NA PALMA DEDOS E DORSO TAMANHO 08. MARCAS APROVADAS PELA SEGURANÇA DO TRABALHO: PROMAT CA 31944 DVT CA 25313 E SUPER SAFETY CA 33334,Epi
Luva Latex Nitrilico Cor Verde Tam. 09 ( G ) LUVA DE SEGURANÇA CONFECCIONADA EM LÁTEX NITRÍLICO ANTIDERRAPANTE NA PALMA DEDOS E DORSO TAMANHO 09. MARCAS APROVADAS PELA SEGURANÇA DO TRABALHO: PROMAT CA 31944 DVT CA 25313 E SUPER SAFETY CA 33334,Epi
Luva Latex Nitrilico Cor Verde Tamanho 10 LUVA DE SEGURANÇA CONFECCIONADA EM LÁTEX NITRÍLICO ANTIDERRAPANTE NA PALMA DEDOS E DORSO TAMANHO 10. MARCAS APROVADAS PELA SEGURANÇA DO TRABALHO: PROMAT CA 31944 DVT CA 25313 E SUPER SAFETY CA 33334,Epi
"Luva Latex Tam ""M"" P/ Procedimento Cirurgico LUVA LATEX TAM. ""M"" P/PROCEDIMENTO CIRURGICO",Epi
Luva Para Cobertura da Luva de Alta Tensao LUVA DE SEGURANCA PARA COBERTURA DA LUVA DE ALTA TENSAO CONFECCIONADA EM VAQUETA E RASPA MÃO EM VAQUETA PUNHO EM RASPA TIRA DE REFORÇO EM VAQUETA ENTRE O POLEGAR E O INDICADOR PROTETOR DE ARTÉRIA EM VAQUETA TIRA EM VAQUETA NA ALTURA DO PUNHO E FIVELA PLÁSTICA PARA AJUSTE. - MARCA APROVADA PLA SEGURANÇA DO TRABALHO: PLASTCOR DO BRASIL LTDA - CA: 36252,Epi
LUVA PROC LUBRIF G DESCARPACK 0080401 LUVA PROCEDIMENTO- DESCARTAVEL- MATERIAL LATEX- LUBRIFICACAO PO ABSORVIVEL- TAMANHO G,Epi
LUVA PROC LUBRIF M DESCARPACK 0080301 LUVA PROCEDIMENTO- DESCARTAVEL- MATERIAL LATEX- LUBRIFICACAO PO ABSORVIVEL- TAMANHO M,Epi
Luva Protecao Borracha SBE Bomba Nm 0125sy01lo7j LUVA PROTECAO BORRACHA SBE CODIGO NDB4934220 PARA BOMBA NM 0125SY01L07J - APL-DMSA- BOMBA NETCZSCH NM 0125SY01L07J LODO PARA FILTROS,Epi
Luva Protecao Borracha SBE Bomba Nm 090sy01lo7j LUVA PROTECAO BORRACHA SBE CODIGO NDB4934219 BOMBA NM 090SY01LOJ - APL- BOMBA NETCZSCH NM 090SY01LO7J LODO DECANTADOR,Epi
Luva Pvc C/ Forro Punho Medio 36cm Tam. G LUVA DE PVC PUNHO MEDIO C/FORRO 36CM.COMPRIMENTO - TAMANHO G.,Epi
Luva Pvc Punho Medio 36cm Luva Pvc Punho Medio 36Cm,Epi
LUVA SEG BORR BR TAM G DANNY DA 90112 LUVA SEGURANCA- CONFECCIONADA BORRACHA NITRILICA- COM ANTIDERRAPANTE NAS PONTAS DEDOS- COR BRANCA- SEM REVESTIMENTO INTERNO- TAMANHO G- C.A 7568- APLICACAO: PROTECAO PARA AS MAOS,Epi
LUVA SEG BORR BR TAM M DANNY 90200,Epi
LUVA SEG BORR BR TAM M DANNY DA 90112 LUVA SEGURANCA- CONFECCIONADA BORRACHA NITRILICA- COM ANTIDERRAPANTE NAS PONTAS DEDOS- COR BRANCA- SEM REVESTIMENTO INTERNO- TAMANHO M (8)- C.A 7568- APLICACAO: PROTECAO PARA AS MAOS,Epi
LUVA SEG BORR BR TAM P DANNY DA 90112 LUVA SEGURANCA- CONFECCIONADA BORRACHA NITRILICA- COM ANTIDERRAPANTE NAS PONTAS DEDOS- COR BRANCA- SEM REVESTIMENTO INTERNO- TAMANHO P- C.A 7568- APLICACAO: PROTECAO PARA AS MAOS,Epi
LUVA SEG NYLON C/BANHO NITRILICO TAM G LUVA SEGURANCA- NYLON COM BANHO NITRILICO CINZA NA PALMA E NOS DEDOS- DORSO SEM REVESTIMENTO- TAMANHO GRANDE- CA 16468- APLICACAO: EPI - PROTECAO PARA AS MAOS,Epi
LUVA SEG TAM M LJ MUCAMBO HARPON LUVA SEGURANCA- LATEX NATURAL- TAMANHO MEDIO- COR LARANJA- NORMA CA 10387- APLICACAO: EPI - PROTECAO PARA AS MAOS,Epi
Luva Seguranca Confeccionada Fibras Sinteticas Tamanho 10 EG LUVA DE SEGURANÇA CONFECCIONADA EM FIBRAS SINTÉTICAS TAMANHO 10 ( EG ) - 13 GAUGE REVESTIDA EM NITRILA NA FACE PALMAR E PONTA DOS DEDOS PUNHO COM FIBRAS ELÁSTICAS E ACABAMENTO COM FIBRAS SINTÉTICAS. Nº DO CA: 38932 REFERÊNCIAS: NITRIL WAVE,Epi
Luva Seguranca Confeccionada Fibras Sinteticas Tamanho 7 (P) LUVA DE SEGURANÇA CONFECCIONADA EM FIBRAS SINTÉTICAS TAMANHO 7 (P) - 13 GAUGE REVESTIDA EM NITRILA NA FACE PALMAR E PONTA DOS DEDOS PUNHO COM FIBRAS ELÁSTICAS E ACABAMENTO COM FIBRAS SINTÉTICAS. Nº DO CA: 38932 REFERÊNCIAS: NITRIL WAVE,Epi
Luva Seguranca Confeccionada Fibras Sinteticas Tamanho 8 (M) LUVA DE SEGURANÇA CONFECCIONADA EM FIBRAS SINTÉTICAS TAMANHO 8 (M) - 13 GAUGE REVESTIDA EM NITRILA NA FACE PALMAR E PONTA DOS DEDOS PUNHO COM FIBRAS ELÁSTICAS E ACABAMENTO COM FIBRAS SINTÉTICAS. Nº DO CA: 38932 REFERÊNCIAS: NITRIL WAVE,Epi
Luva Seguranca Confeccionada Fibras Sinteticas Tamanho 9 (G) LUVA DE SEGURANÇA CONFECCIONADA EM FIBRAS SINTÉTICAS TAMANHO 9 (G) - 13 GAUGE REVESTIDA EM NITRILA NA FACE PALMAR E PONTA DOS DEDOS PUNHO COM FIBRAS ELÁSTICAS E ACABAMENTO COM FIBRAS SINTÉTICAS. Nº DO CA: 38932 REFERÊNCIAS: NITRIL WAVE,Epi
'Luva Seguranca Confeccionada Suporte Textil Tamanho EG/10 LUVA DE SEGURANÇA CONFECCIONADA EM SUPORTE TÊXTIL TAMANHO EG/10 COM FIOS DE HPPE FIBRA DE VIDRO E ELASTANO REVESTIMENTO EM BORRACHA NITRÍLICA NA PALMA DEDOS E FACE DOS DEDOS,Epi
'Luva Seguranca Confeccionada Suporte Textil Tamanho G/9 LUVA DE SEGURANÇA CONFECCIONADA EM SUPORTE TÊXTIL TAMANHO G/9 COM FIOS DE HPPE FIBRA DE VIDRO E ELASTANO REVESTIMENTO EM BORRACHA NITRÍLICA NA PALMA DEDOS E FACE DOS DEDOS,Epi
'Luva Seguranca Confeccionada Suporte Textil Tamanho M/8 LUVA DE SEGURANÇA CONFECCIONADA EM SUPORTE TÊXTIL TAMANHO M/8 COM FIOS DE HPPE FIBRA DE VIDRO E ELASTANO REVESTIMENTO EM BORRACHA NITRÍLICA NA PALMA DEDOS E FACE DOS DEDOS,Epi
'Luva Seguranca Confeccionada Suporte Textil Tamanho P/7 LUVA DE SEGURANÇA CONFECCIONADA EM SUPORTE TÊXTIL TAMANHO P/7 COM FIOS DE HPPE FIBRA DE VIDRO E ELASTANO REVESTIMENTO EM BORRACHA NITRÍLICA NA PALMA DEDOS E FACE DOS DEDOS,Epi
LUVA SEGURANCA TRICOTADA TAM.M DA36105 ZL C.A.8082 LUVA SEGURANCA- TRICOTADA FIOS ALGODAO- VULCANIZADO DE LATEX VERDE REFORCADO NA PALMA E NOS DEDOS- NORMA C.A.8082- APLICACAO: EPI - PROTECAO PARA AS MAOS- DA36105 ZL,Epi
LUVA 340P/4 ALGODAO PIGMENTADA LUVA DE ALGODAO TRICOTADA PIGMENTADA UM LADO REF. 340P/4 PROMAT,Epi
LUVA 770 POLINYL LISA TAM P/M/G LUVA POLINYL TRICOTADA C/FIOS DE POLIAMIDA CINZA REVESTIDA NA PALMA COM LATEX NITRILICO REF.770 - PROMAT TAMANHO: P = 7 M = 8 G = 9,Epi
LUVA ALGODAO ACAB. ANTIDERRAPANTE LUVA ALGODAO REV. NITRI. ACABAMENTO ANTIDERRAPANTE CERAMI,Epi
LUVA ARAMIDA 2001 EN407 42CM EPIVILLE LUVA ARAMIDA COM FORRO DE TECIDO ATI-CHAMA COSTURADA LINHA ARAMIDA PUNHO 20CM COMPRIMENTO 47CM NORMA EN407 REF. 2001 EPIVILLE CA28938,Epi
LUVA CIRURGICA ESTERELIZADA,Epi
LUVA DE MALHA TRICOTADA 4 FIOS LUVA DE MALHA TRICOTADA COM 4 FIOS E PUNHO DE 15CM REF. TSUZUKI,Epi
LUVA ESTERIL Nº 75 (PARES),Epi
LUVA ESTERIL Nº 80 (PARES),Epi
LUVA ESTERIL (PAR) CONFORME DESCRICAO,Epi
LUVA GRAFATEX KEVLAR 40 CM LUVA GRAFATEX KEVLAR REVERS S/COSTURA FORRADA EM LA 40 CM C.A. 6409 REF. 1511 - PROMAT,Epi
LUVA ISOLADA base_5,Epi
LUVA ISOLANTE CLASSE 0 1KV TAMANHO 11,Epi
LUVA KONG KNIT CUT-5 MODELO KCHA5-04-L CA 45.855,Epi
LUVA KONG ORIGINAL - SDX2-05-XL C.A 40.067,Epi
LUVA NITRILON 659 - ZL LUVA COM REVESTIMENTO NITRILICO EM FORRO DE MALHA 100% ALGODAO PUNHO DE MALHA TAMANHO 75 A 95 REFERENCIA NITRILON ZL - AZUL 659 PROMAT,Epi
LUVA NITRILON TAM. 10,Epi
LUVA NITRILON TAM. 8,Epi
LUVA NITRILON TAM. 9,Epi
LUVA POLINYL TAM. 7,Epi
LUVA POLINYL TAM. 8,Epi
LUVA POLINYL TAM. 9,Epi
LUVA PRONIT 920 TAM. M-G-GG LUVA BORRACHA NITRILICA TAMANHO M = Nº 8 TAMANHO G = Nº 9 TAMANHO GG = Nº 10 REFERENCIA PRONIT 920 PROMAT,Epi
LUVA PRONIT TAM. 10,Epi
LUVA PRONIT TAM. 8,Epi
LUVA PRONIT TAM. 9,Epi
"LUVA PVC 36CM COMPRIM LUVA DE PVC PALMA ASPERA VINILPLAST DE 9.1/2"" PUNHO 36CM FORRO EM ALGODAO",Epi
LUVAS DE LATEX TAMANHO (PP-P-M-G),Epi
LUVA SEGURANCA BORRACHA ISOL 20KV ORION,Epi
LUVAS PARA PROCEDIMENTOS CAIXA COM 100 UNIDADES MEDIA,Epi
LUVAS PARA PROCEDIMENTOS CAIXA COM 100 UNIDADES PEQUENA,Epi
LUVAS PARA PROCEDIMENTOS CONFORME DESCRICAO,Epi
LUVAS VELOUTE,Epi
LUVA TRICOTADA ALGODAO 705 LUVA TRICOTADA DE ALGODAO/POLIESTER REVESTIMENTO DE LATEX NA PALMA PUNHO C/ELASTICO REF. 705 (CA 10989) PROMAT,Epi
LUVA TRICOTADA AVANTOR,Epi
LUVA TRICOTADA REVESTIDA COM BORRACHA,Epi
LUVA ALTA TENSAO CLASSE 00 - NBR 10622 (500V) C.A 2178 Marca: - Modelo: - Cor: - Tamanho:,Epi
LUVA EPITEC 413 T09 TRICOTADA AZUL CA 32812 Marca: - Modelo: - Cor: - Tamanho:,Epi
LUVA EPITEC 603 BRANCA T09 CA 16098 Marca: - Modelo: - Cor: - Tamanho:,Epi
LUVA EPITEC GRAFATEX 5 FIO 40CM CZ P-LON Marca: - Modelo: - Cor: - Tamanho:,Epi
LUVA LATEX FORRADA TAM 8 M MULTIUSO VOLK CA 10695,Epi
LUVA LATEX FORRADA TAM 9 G MULTIUSO VOLK CA 10695,Epi
LUVA LATEX P/ PROCEDIMENTO TAM M CX C/100 SUPERMAX,Epi
LUVA LATEX P/ PROCEDIMENTO TAM P CX C/100 SUPERMAX,Epi
LUVA NITRILICA PROMAT TAM P BI NEOMIX AZUL/AMARELA,Epi
LUVA ORION 25 KV P/ ELETRECISTA CLAS 00 Marca: - Modelo: - Cor: - Tamanho:,Epi
LUVA PARA SOLDA,Epi
LUVA PARA SOLDA Marca: - Modelo: - Cor: - Tamanho:,Epi
LUVA POLIAMIDA HELANCA BRANCA 06 FIOS BIGCOMPRE TAMG CA32214 Marca: - Modelo: - Cor: - Tamanho:,Epi
LUVA PVC BOCAL 800MMX450MM DIREITA T9 1/2 HANDSCHUHE CA1171,Epi
LUVA RORHUAN TRICOTADA BR 6FIOS 4A+2P TAM 8 CA37404,Epi
LUVA VERSATOUCH LATEX CA 24060-8 MARCA ANSELL,Epi
LUVA VERSATOUCH LATEX CA 24060-9 MARCA ANSELL,Epi
LUVA VERSATOUCH LATEX CA 34060-7 MARCA ANSELL,Epi
LUVA VOLK LATEX CANO LONGO TAM G CA 15100 Marca: - Modelo: - Cor: - Tamanho:,Epi
LUVA VOLK NITR. AZ SENSIVOLK CANO LONGO PLUS T8 (M) CA 17129 Marca: - Modelo: - Cor: - Tamanho:,Epi
LUVA VOLK NITRILICA AZ SENSIVOLK CANO LONGO PLUS T10 CA17129,Epi
LUVA DE ALTA base_19MANCE CA 9075,Epi
LUVA DE MALHA PIGMENTADA ANTIDERRAPANTE,Epi
LUVA POWER FLEX 80-100 CA 12509,Epi
LUVA PROCEDIMENTO AZUL TALCADA TNT CA 12372,Epi
Luva Alta Tensao 05KV Preto Tamanho 10 1000V CA 29775 - Orion,Epi
Luva Alta Tensão 25KV c/Certificado 500V CA 2178 - Orion,Epi
Luva Alta Tensão 36000V Classe 4 CA 29771,Epi
Luva Alta Tensão c/Aprovação para 26500 V Orion,Epi
Luva Borracha 40KV Classe 4,Epi
Luva Cano Longo 35cm c/Forro Ref. DA 36201 CA 25313 Tamanho 10 - Danny,Epi
Luva c/Fio Aço Inox Grosso Tam. G CA 20891 - Fiodell,Epi
Luva Cnit Tam. 10 C.A 32.039,Epi
Luva Cnit Tam. 9 C.A 32039,Epi
Luva com Aprovação para Tensão de 500 V Orion,Epi
Luva Coral Medio G CA 15366 - Danny,Epi
Luva Coral Medio M CA 15366 - Danny,Epi
Luva Coral Medio P CA 15366 - Danny,Epi
Luva de Foco Simples,Epi
Luva de La,Epi
Luva de Latex Nitrilico Anti Derrapante - CA 9633,Epi
Luva de Latex p/Procedimentos c/100un Tam M CA 32862 - Descarpack,Epi
Luva de Latex p/Procedimento Tamanho G c/100un - Supermax,Epi
Luva de Latex p/Procedimento Tamanho M c/100un - Supermax,Epi
Luva de Latex p/Procedimento Tamanho P c/100un - Supermax,Epi
Luva de Seguranca Mucambo PRO 600 Tam. 9 C.A32144,Epi
Luva Duo-Mix 405 CA 10077 - Mapa,Epi
Luva Emborracha Laranja Previlon Nº 9 CA 21367 - Volk,Epi
Luva Forrada Multiuso Pequena,Epi
Luva Gargon p/Papai Noel,Epi
Luva Gladiador Tricot. Algodao Antiderrapante Tamanho 9 CA 8082 - Danny,Epi
Luva Goleiro,Epi
Luva Helanca Cinza c/ Ponta dos Dedos Emborrachada,Epi
Luva Latex Neomix Tamanho G CA 6657 - Promat,Epi
Luva Latex Verde Enduro,Epi
Luva Maxitherm DA-24202 Alta Temperatura Tamanho G CA 46391 - Danny,Epi
Luva Maxitherm DA-24202 Alta Temperatura Tamanho M CA 28579 - Danny,Epi
Luva Mista Latex Natural Amarela/Azul CA 26740 Tamanho 10 - Soft,Epi
Luva Mista Latex Natural Amarela/Azul CA 26740 Tamanho 8 - Soft,Epi
Luva Mista Latex Natural Amarela/Azul CA 26740 Tamanho 9 - Soft,Epi
Luva Multitato 1670 Carbono Tricotada Preta Tamanho 9 CA 14628,Epi
Luva Neolatex Danny,Epi
Luva Neoprene NEO780 Tam. G Alta Temp. 250°C CA 16977 - Volk,Epi
Luva Neoprene NEO780 Tam. M Alta Temp. 250°C CA 16977 - Volk,Epi
Luva Neoprene NEO780 Tam. P Alta Temp. 250°C CA 16977 - Volk,Epi
Luva Neoprene NEO780 Tam. XG Alta Temp. 250°C CA 16977 - Volk,Epi
Luva Nitriflex Longa G CA 12254 - Danny,Epi
Luva Nitriflex Longa M CA 12254 - Danny,Epi
Luva Nitrilica 479 A15 CA 31370 N° 10 - Mapa,Epi
Luva Nitrilica 479 A15 CA 31370 N° 8 - Mapa,Epi
Luva Nitrilica 479 A15 CA 31370 N° 9 - Mapa,Epi
Luva Nitrilica A18 Prot Cap Soft - CA 26097,Epi
Luva Nitrilica Azul s/Amido Sensiplus Tam. GG - CA 9633,Epi
Luva Nitrilica Azul s/Amido Sensiplus Tam. M - CA 9633 - Promat,Epi
Luva Nitrilica Azul s/Amido Sensiplus Tam. P - CA 9633 - Promat,Epi
Luva Nitrilica Mapa A-18,Epi
Luva Nitrilica p/Kit 20lt - Lupa Ambental,Epi
Luva nitrilica sem talco tam. G,Epi
Luva Nitrilica Verde A18 Nº 10 CA 31369 - Mapa,Epi
Luva Nitrilica Verde A18 Nº 7 CA 31369 - Mapa,Epi
Luva Nitrilica Verde A18 Nº 8 CA 31369 - Mapa,Epi
Luva Nitrilica Verde A18 Nº 9 CA 31369 - Mapa,Epi
Luva Nitrilica Verde KA10 Tamanho 10 CA 11769 - Kalipso,Epi
Luva Nitrilica Verde KA 10 Tamanho 7 CA 11769 - Kalipso,Epi
Luva Nitrílica Verde KA10 Tamanho 8 CA 11769 - Kalipso,Epi
Luva Procedimento Nitrilica Nitril Pro Azul c/100un Tam G Sem Talco CA 20331 Ref. 899 - Mucambo,Epi
Luva Procedimento Nitrilica Nitril Pro Azul c/100un Tam M Sem Talco CA 20331 Ref. 899 - Mucambo,Epi
Luva Procedimento Nitrilica Nitril Pro Azul c/100un Tam P Sem Talco CA 20331 Ref. 899 - Mucambo,Epi
Luva Procedimento Nitrilica Nitril Pro Azul c/100un Tam XG Sem Talco CA 20331 Ref. 899 - Mucambo,Epi
Luva Proteçao Agentes Mecanicos/Quimicos Tamanho 10 DA2020 CA 9567 - Danny,Epi
Luva Proteçao Agentes Mecanicos/Quimicos Tamanho 9 DA2020 CA 9567 - Danny,Epi
Luva Proteçao Agentes Termicos e Mecanicos Tam.10 CA 17740 - Promat,Epi
Luva Proteçao Agentes Termicos e Mecanicos Tam.7 CA 17740 - Promat,Epi
Luva Proteçao Agentes Termicos e Mecanicos Tam.8 CA 17740 - Promat,Epi
Luva Proteçao Agentes Termicos e Mecanicos Tam.9 CA 17740 - Promat,Epi
Luva Resistente ao Corte Tam. 9 Cinza CA42254/CA33601,Epi
Luvas de Lã cor preta,Epi
Luvas de Latex p/Procedimentos Tamanho P - Supermax,Epi
Luvas descartáveis Tam. M,Epi
Luva Sensiflex Azul G CA 40093/CA 42979,Epi
Luva Sensiflex Azul M CA 40093/CA 42979,Epi
Luva Sensiflex Azul P CA 40093/CA 42979,Epi
Luva Sensiflex Azul XG CA 40093/CA 42979,Epi
Luva Silver Azul Tamanho 7 CA 33332 - Super Safety,Epi
Luva Technic 450 41cm Tamanho 9 CA 31052 - Mucambo,Epi
Luva Thermaflex Tamanho M CA 14788 - Danny,Epi
Luva Tric. Alg. AZ LN1005 10 - Safety,Epi
Luva Tricotada Nº 8 Fios Sinteticos Poliamida Revestida Palma c/Poliuretano CA 14628 - Yeling,Epi
Luva Tricotada Nº 9 Fios Sinteticos Poliamida Revestida Palma c/Poliuretano CA 14628,Epi
Luva Tricotada Nº 9 Fios Sinteticos Poliamida Revestida Palma c/Poliuretano CA 14628 - Yeling,Epi
Luva Ultraneo 450 41cm Tamanho 8 CA 43772,Epi
